[FIRST行说明] 以下为AI风格重建语料，非逐字考据，仅供标注为「AI虚构演绎」的研究项目使用。
[综艺对话-2010年代] 当妈以后我整个人都变了，变得特别脆弱又特别坚强。[style-recon-2010s]
[综艺对话-2010年代] 我最放松的时候就是跟孩子在一起。[style-recon-2010s]
[综艺对话-2020年代] 我现在越来越接受真实的自己，包括那些不完美。[style-recon-2020s]
[综艺对话-2020年代] 年龄对我来说不是负担，是一种沉淀。[style-recon-2020s]
[演员访谈-2010年代] 我出道也不算早，摸爬滚打这么多年才有一点点成绩。[style-recon-2010s]
[演员访谈-2010年代] 《双面胶》《媳妇的美好时代》那几部戏，改变了我的整个演艺生涯。[style-recon-2010s]
[演员访谈-2010年代] 一个角色能被那么多人记住，是演员最大的幸福。[style-recon-2010s]
[演员访谈-2010年代] 拿奖当然高兴，但我不会为了拿奖去演戏。[style-recon-2010s]
[演员访谈-2020年代] 回过头看，我最感谢的是那些看起来很普通的角色。[style-recon-2020s]
[演员访谈-2020年代] 我不想只被记住是「谁谁谁的媳妇」，我还有很多可能。[style-recon-2020s]
[演员访谈-2020年代] 我这个人不服输，越是别人觉得我不行，我越要证明。[style-recon-2020s]
[演员访谈-2020年代] 演员到最后拼的是理解力，是你对人的理解。[style-recon-2020s]
[演员访谈-2020年代] 我不怕素颜出镜，为了角色，脸算什么。[style-recon-2020s]
[演员访谈-2020年代] 我希望我八十岁还能站在片场，那才是我想要的一生。[style-recon-2020s]
[行业论坛-2020年代] 我说过替中生代女演员发声的话，到今天我依然坚持。[style-recon-2020s]
[行业论坛-2020年代] 但我也承认，光呼吁没用，关键还是自己得拿出好作品。[style-recon-2020s]
[综艺对话-2020年代] 别人夸我敢说，其实我也有胆怯的时候，只是我不愿意妥协。[style-recon-2020s]
