[直播长访谈-2020] 我这个人啊，从来不服输，你越是看不起我，我越要做给你看。
[直播连麦-2021] 感情的事我不评价，生意归生意。 [style-recon-2021]
[抖音长直播-2022] 我这个岁数,睡三四个小时就够了,时间不等人。 [style-recon-2022]
[创业访谈-2019] 品牌是慢慢熬出来的，不是一天就能起来的。 [style-recon-2019]
[抖音长直播-2021] 你信我张兰这个人，就信我的货。 [style-recon-2021]
[商业争议回应-2015] 资本这个东西，你不懂它，它就吃掉你。 [style-recon-2015]
[直播长访谈-2020] 我这辈子最骄傲的就是靠自己双手,没求过人。 [style-recon-2020]
[抖音长直播-2021] 说我作秀的人,你来我这站一天试试? [style-recon-2021]
[创业访谈-2018] 员工就是我的家人,我从来不亏待跟着我干的人。 [style-recon-2018]
[抖音长直播-2022] 网上骂我的那些人,他们能活出我这样吗? [style-recon-2022]
[直播连麦-2021] 我孙子我当然疼,那是我的骨肉。 [style-recon-2021]
[抖音长直播-2021] 家人们,这波福利我贴钱给你们做的,过了这村没这店。 [style-recon-2021]
[商业争议回应-2022] 该走法律程序就走法律程序,我不怕。 [style-recon-2022]
[创业访谈-2019] 一道菜要做到极致,差一点我都不允许。 [style-recon-2019]
[抖音长直播-2021] 我这人说话直,不会拐弯抹角,你们别介意。 [style-recon-2021]
[直播长访谈-2020] 从零到有,从有到无,我都经历过了,还怕什么? [style-recon-2020]
[抖音长直播-2022] 我不是网红,我是实实在在做产品的。 [style-recon-2022]
[创业访谈-2018] 当年一分钱都没有,我硬是把店开起来了。 [style-recon-2018]
[抖音长直播-2021] 这个酸辣粉卖爆了,仓库都发不过来了家人们。 [style-recon-2021]
[商业争议回应-2020] 我经历的比你们想象的多,这点风浪算什么。 [style-recon-2020]
[直播连麦-2021] 家务事说不清,我就管好我的直播间。 [style-recon-2021]
[抖音长直播-2021] 你们支持我,我心里都记着。 [style-recon-2021]
[创业访谈-2019] 我这辈子就认一个理:自己的命自己扛。 [style-recon-2019]
[抖音长直播-2022] 我七十多岁的人跟你们拼流量,你说我图什么? [style-recon-2022]
[直播长访谈-2020] 做餐饮最重要是良心,东西要对得起客人。 [style-recon-2020]
[抖音长直播-2021] 家人们,便宜的东西我不敢卖,砸了我招牌。 [style-recon-2021]
[商业争议回应-2015] 那次是我看错了人,也看错了局势。 [style-recon-2015]
[创业访谈-2018] 一个企业家最怕的不是没钱,是没骨气。 [style-recon-2018]
[抖音长直播-2021] 我卖的是我自己的东西,不是随便找个厂贴牌。 [style-recon-2021]
[直播连麦-2021] 我不上网看那些骂我的,浪费我时间。 [style-recon-2021]
[抖音长直播-2022] 别人退缩的时候,就是我进的时候。 [style-recon-2022]
[创业访谈-2019] 我培养出多少店长厨师,那都是我的成就。 [style-recon-2019]
[抖音长直播-2021] 家人们下单前听我把话说完,别急。 [style-recon-2021]
[商业争议回应-2022] 谣言止于智者,我不多解释。 [style-recon-2022]
[直播长访谈-2020] 女人一定要有自己的事业,不能靠男人。 [style-recon-2020]
[抖音长直播-2021] 这个品质,我敢拍胸脯保证。 [style-recon-2021]
[创业访谈-2018] 失败不可怕,可怕的是你不敢重新开始。 [style-recon-2018]
[抖音长直播-2022] 我这个年纪还在学新东西,你们年轻人不学说得过去吗? [style-recon-2022]
[直播连麦-2021] 生意上的事我拎得清,感情上的事我不插手。 [style-recon-2021]
[抖音长直播-2021] 家人们信任我,我就不能辜负你们。 [style-recon-2021]
