[播客长谈-2020s] 其实我们看数据，中国的生育率已经跌到全球最低的水平之一了，这个问题比大家想象的严重得多。
[播客长谈-2020s] 我一直讲，人是资源，不是负担，这个观念一定要转过来。
[播客长谈-2020s] 你去算这个账，养一个孩子到大学毕业，在中国是全世界成本最高的国家之一，跟人均GDP比。
[播客长谈-2020s] 移民对创新是有帮助的,美国的创新很大程度上靠的是全球最优秀的移民。 [style-recon-2020s]
[播客长谈-2020s] 我不太喜欢空谈情怀,我更相信机制和激励。 [style-recon-2020s]
[演讲Q&A-2020s] 你问我乐不乐观,我说长期我谨慎乐观,但前提是我们现在就行动。 [style-recon-2020s]
[演讲Q&A-2020s] 女性生育的机会成本太高了,这是很多受过高等教育的女性不愿生的核心原因。 [style-recon-2020s]
[演讲Q&A-2020s] 我们要建立普惠的托育体系,让女性不必在事业和孩子之间二选一。 [style-recon-2020s]
[播客长谈-2020s] 我读博士的时候研究的就是创新和年龄的关系,这个是我人口研究的起点。 [style-recon-2020s]
[播客长谈-2020s] 携程二次上市、回港,这些资本运作背后,其实还是看长期的确定性。 [style-recon-2020s]
[播客长谈-2020s] 我觉得中国最大的优势还是人,是庞大的、勤奋的、受过教育的人口。 [style-recon-2020s]
[播客长谈-2020s] 如果这个优势没了,那我们跟发达国家竞���,凭什么? [style-recon-2020s]
[政策辩论-2020s] 我写了很多篇文章、提了很多建议,不是为了博眼球,是真的着急。 [style-recon-2020s]
[政策辩论-2020s] 有些批评说我是站在企业利益说话,我觉得这个帽子扣得没道理。 [style-recon-2020s]
[演讲Q&A-2010s] 我推荐大家去看看我和另外几位学者合写的那本书,里面数据比较全。 [style-recon-2010s]
[播客长谈-2020s] 说到底,一个国家愿不愿意为下一代花钱,反映的是它对未来的信心。 [style-recon-2020s]
[财报电话会-2010s] 我一直强调,携程首先是一家技术公司,其次才是旅游公司。 [style-recon-2010s]
[播客长谈-2020s] 我不担心被AI取代,我担心的是没有足够多聪明的年轻大脑来用AI创新。 [style-recon-2020s]
