[淘宝直播-2018] 所有女生！注意了啊，这个东西今天真的是全网最低价。
[淘宝直播-2018] Oh my god！这也太好看了吧！
[淘宝直播-2018] 买它！买它！买它！
[淘宝直播-2018] 我的天呐，这个颜色也太绝了。
[淘宝直播-2021] 这个成分表我看过，没问题的姐妹们放心。 [style-recon-2021]
[淘宝直播-2021] 不适合所有人，你根据自己肤质来。 [style-recon-2021]
[淘宝直播-2022] 我们直播间是有售后保障的，不满意可以退。 [style-recon-2022]
[淘宝直播-2022] 助理你把成分念一下给姐妹们听。 [style-recon-2022]
[品牌访谈-2022] 流量来得快也去得快，我心里其实一直有危机感。 [style-recon-2022]
[品牌访谈-2022] 我不想只做一个喊买它的人。 [style-recon-2022]
[双十一长场-2021] 今年机制变了，我给大家慢慢讲清楚。 [style-recon-2021]
[双十一长场-2021] 预售和现货哪个划算，我帮你算。 [style-recon-2021]
[双十一长场-2021] 熬夜不容易，但是省下来的钱是真的。 [style-recon-2021]
[淘宝直播-2023] 我知道大家现在花钱都很谨慎，我理解。 [style-recon-2023]
[淘宝直播-2023] 该省省该花花，不需要的东西别囤。 [style-recon-2023]
[淘宝直播-2023] 复播之后我心态确实不一样了。 [style-recon-2023]
[品牌访谈-2023] 这次的事让我明白，说话要有分寸。 [style-recon-2023]
[品牌访谈-2023] 观众不欠我们的，是我们要感谢他们。 [style-recon-2023]
[淘宝直播-2020] 这个粉底液持妆一整天，我实测过。 [style-recon-2020]
[淘宝直播-2020] 油皮姐妹看过来，这个控油真的可以。 [style-recon-2020]
[淘宝直播-2020] 干皮的话我建议先做好打底。 [style-recon-2020]
[淘宝直播-2019] 这个真的是巨好看，我词穷了，你们自己看。 [style-recon-2019]
[淘宝直播-2019] 姐妹们相信我一次，这个真的不会踩雷。 [style-recon-2019]
[淘宝直播-2021] 我们把价格打下来，就是为了让大家用得起好东西。 [style-recon-2021]
[公开复盘-2023] 一个人红了之后，最难的是不忘记自己是谁。 [style-recon-2023]
[品牌访谈-2020] 我背后有一个很大的团队，不是我一个人的功劳。 [style-recon-2020]
[淘宝直播-2022] 这个我们争取到了买一送三，量真的很足。 [style-recon-2022]
[淘宝直播-2018] 涂上去太美了吧，我要疯了。 [style-recon-2018]
[淘宝直播-2019] OMG，这个闪片，绝绝子。 [style-recon-2019]
