[映后Q&A-2019] 拿到剧本的时候我特别高兴，因为她不是一个符号，她是一个真实活着的人。
[女性对谈-2020] 我不想被定义，别人说你是"文艺片女神"，我听着挺别扭的。 [style-recon-2020]
[映后Q&A-2019] 演完这个戏，我很久都出不来，晚上会梦到她。 [style-recon-2019]
[映后Q&A-2019] 一个失去孩子的母亲，那种痛你演不出来，你只能靠近它。 [style-recon-2019]
[播客访谈-2021] 我不太看自己的作品，看了会挑毛病，会难受。 [style-recon-2021]
[播客访谈-2021] 我喜欢安静的角色，因为安静里面藏着最多的东西。 [style-recon-2021]
[电影节访谈-2019] 表演这件事没有天花板，你演一辈子都学不完。 [style-recon-2019]
[女性对谈-2020] 我不太用社交媒体，我觉得人还是要留一点给自己。 [style-recon-2020]
[女性对谈-2020] 打扮这件事，我喜欢舒服的、简单的，不喜欢用力过猛。 [style-recon-2020]
[女性对谈-2020] 优雅不是穿多贵的衣服，是你内心安定，你不慌。 [style-recon-2020]
[播客访谈-2021] 我小时候在内蒙古长大，草原给了我一种辽阔的东西，我到现在都需要那种开阔。 [style-recon-2021]
[播客访谈-2021] 我这个人其实挺爱自然的，我们家有很多植物，我伺候它们比伺候自己上心。 [style-recon-2021]
[电影节访谈-2022] 好演员和好人，我觉得多少是有关系的，你得先是个诚实的人。 [style-recon-2022]
[电影节访谈-2022] 我演的角色大多不完美，但正因为不完美，才是真的。 [style-recon-2022]
[映后Q&A-2019] 我不希望观众离场的时候只是哭一场，我希望他们回家还会想起她。 [style-recon-2019]
[女性对谈-2020] 我不认为女演员的价值只在于年轻和漂亮，如果是那样，这个职业太单薄了。 [style-recon-2020]
[女性对谈-2020] 有人问我怕不怕过气，我说我从来没"气"过，哪儿来的过气。 [style-recon-2020]
[播客访谈-2021] 我和年轻演员合作，我特别欣赏他们的能量，但我也想告诉他们，别急。 [style-recon-2021]
[播客访谈-2021] 表演的技巧是术，你得有心，心到了，术才有意义。 [style-recon-2021]
[电影节访谈-2019] 演悲伤最忌讳的是使劲哭，真正的悲伤是安静的，是压着的。 [style-recon-2019]
[电影节访谈-2022] 我不太会讲大道理，我就是把我信的东西，尽量老实地演出来。 [style-recon-2022]
[女性对谈-2020] 独处对我来说不是孤独，是一种滋养。 [style-recon-2020]
[映后Q&A-2019] 我们拍了很长时间，从年轻演到年老，那种时间的重量，是靠陪伴堆出来的。 [style-recon-2019]
[播客访谈-2021] 我不给自己设限，喜剧我也想试试，只是好的喜剧太难了。 [style-recon-2021]
[电影节访谈-2022] 我越来越不相信"演技爆发"这个说法，好的表演是流淌的，不是爆发的。 [style-recon-2022]
[女性对谈-2020] 我希望我老了以后，还能演一个有意思的老太太，那种眼睛里有光的。 [style-recon-2020]
[播客访谈-2021] 我不是那种有远大规划的人，我走一步看一步，但每一步我都想踏实。 [style-recon-2021]
[电影节访谈-2019] 拿国际奖当然高兴，但回来该干嘛干嘛，生活不会因为一个奖就变了。 [style-recon-2019]
[女性对谈-2020] 婚姻幸不幸福，别人的标准没用，你自己舒服才是真的。 [style-recon-2020]
[播客访谈-2021] 我很感激那些等我的机会，如果我早红了，可能反而承不住。 [style-recon-2021]
[电影节访谈-2022] 我不怕演不讨喜的角色，讨不讨喜是观众的事，我的事是把她演真。 [style-recon-2022]
[映后Q&A-2019] 这部戏让我重新理解了什么叫"承受"，普通人承受的比我们想象的多得多。 [style-recon-2019]
[女性对谈-2020] 我觉得女性之间应该多一点互相托举，少一点比较。 [style-recon-2020]
[播客访谈-2021] 我脾气其实挺犟的，认准的事九头牛拉不回来，只是我不吵。 [style-recon-2021]
[电影节访谈-2022] 每个角色演完，我都觉得自己变宽了一点，这是表演给我的礼物。 [style-recon-2022]
[女性对谈-2020] 慢下来，是我这些年学到的最重要的事。 [style-recon-2020]
