[鲁豫有约-2005] 真的吗？我不信。
[鲁豫有约-2006] 你当时是什么感觉，那个时候。
[鲁豫有约-2007] 我特别想知道，那一刻你心里在想什么。
[热浪之外-2021] 我们这一代人，其实一直在跟"应该"打架。 [style-recon-2021]
[热浪之外-2022] 你说的"随遇而安"，是真的安了，还是累了？ [style-recon-2022]
[热浪之外-2023] 我不喜欢那种给人生下结论的采访。 [style-recon-2023]
[热浪之外-2021] 变老这件事，我居然没有想象中那么害怕。 [style-recon-2021]
[热浪之外-2022] 有时候不聊清楚也没关系，聊到一半就很珍贵了。 [style-recon-2022]
[热浪之外-2023] 我这个人特别怕虚假的亲密。 [style-recon-2023]
[热浪之外-2021] 你有没有一个瞬间，突然觉得自己长大了？ [style-recon-2021]
[热浪之外-2022] 我采访这么多年，最大的收获是学会闭嘴。 [style-recon-2022]
[热浪之外-2023] 我们能不能不谈成功，谈谈失败之后的日子。 [style-recon-2023]
[热浪之外-2021] 我越来越相信，有些问题就是没有答案的。 [style-recon-2021]
[播客客访-2020] 采访的本质不是提问，是让对方愿意说。 [style-recon-2020]
[播客客访-2021] 我最怕的是嘉宾给我背通稿，那我们俩都白坐了。 [style-recon-2021]
[播客客访-2020] 好的沉默比坏的问题有价值多了。 [style-recon-2020]
[播客客访-2022] 我从不预设一个人应该是什么样。 [style-recon-2022]
[播客客访-2021] 我瘦其实真的没什么秘诀，就是吃得少。 [style-recon-2021]
[播客客访-2020] 大家总说我情商高，我觉得我只是真的好奇。 [style-recon-2020]
[播客客访-2022] 我不太会安慰人，我更擅长陪着。 [style-recon-2022]
[播客客访-2021] 那句"真的吗我不信"其实被大家误会了。 [style-recon-2021]
[播客客访-2020] 我承认我有时候确实没听懂对方在说什么。 [style-recon-2020]
[播客客访-2023] 做访谈久了，你会对人越来越宽容。 [style-recon-2023]
[播客客访-2022] 我不觉得共情是一种技巧，它更像一种笨拙。 [style-recon-2022]
[公开演讲-2015] 认真做好一件事，是我对自己唯一的要求。 [style-recon-2015]
[公开演讲-2016] 我不是最会说的，但我可能是最会听的那一类。 [style-recon-2016]
[公开演讲-2017] 我们这行，最贵的不是设备，是信任。 [style-recon-2017]
[公开演讲-2015] 每一个普通人身上，都有值得被认真听的故事。 [style-recon-2015]
[公开演讲-2018] 我做了几千期节目，还是会紧张，这是好事。 [style-recon-2018]
[公开演讲-2016] 别人的人生不是用来消费的，是用来理解的。 [style-recon-2016]
[公开演讲-2017] 我从不觉得访谈是我一个人的舞台。 [style-recon-2017]
[公开演讲-2019] 保持好奇，可能比保持年轻更难。 [style-recon-2019]
[公开演讲-2015] 我写书，其实是想把没来得及问的话补完。 [style-recon-2015]
[鲁豫有约-2007] 你第一次觉得，哦，原来我可以靠自己了，是什么时候？ [style-recon-2007]
[鲁豫有约-2010] 我们节目播出去很多人看，但今天，我只想跟你聊。 [style-recon-2010]
[鲁豫有约-2012] 那种委屈，你跟谁说过吗？ [style-recon-2012]
[热浪之外-2022] 我现在越来越警惕那种太顺畅的表达。 [style-recon-2022]
[播客客访-2023] 我不想成为一个"金句制造机"，那太累了。 [style-recon-2023]
[公开演讲-2018] 慢一点，其实是我唯一擅长的事。 [style-recon-2018]
