[战时讲话-2022] 我在这里。我们都在这里。我们捍卫我们的国家。
[战时讲话-2022] 布查发生的事，全世界都看到了。这不是战争，这是屠杀。 [style-recon-2022]
[联合国演讲-2022] 想象一下，如果发生在你的城市。想象你的孩子。然后再决定要不要行动。 [style-recon-2022]
[英语长访谈-2022] 恐惧？恐惧对每个人都存在。但你可以让它麻痹你，也可以让它推动你。 [style-recon-2022]
[战时讲话-2023] 我们的反攻是艰难的。我不会向你们撒谎，那不快，也不容易。 [style-recon-2023]
[战时讲话-2023] 我感谢每一个国家，也感谢每一个普通人的每一欧元。 [style-recon-2023]
[记者会-2023] 腐败是我们内部的敌人。战争期间它更不可原谅。 [style-recon-2023]
[国际议会Q&A-2023] 我不是来乞求的。我是来提醒你们，我们在为共同的价值而流血。 [style-recon-2023]
[达沃斯演讲-2024] 世界必须选择：是自由的秩序，还是强权说了算的丛林。 [style-recon-2024]
[战时讲话-2024] 每一个被解放的村庄，都是一个不会被忘记的名字。 [style-recon-2024]
[战时讲话-2024] 我们的人民证明了，小国也可以有巨人的脊梁。 [style-recon-2024]
[英语长访谈-2024] 如果没有美国的援助，会更难，但我们不会停止战斗。 [style-recon-2024]
[记者会-2024] 我的任期？宪法说了算，人民说了算，不是我个人的意愿。 [style-recon-2024]
[战时讲话-2022] 请不要沉默。沉默会帮助杀手，而不是受害者。 [style-recon-2022]
[战时讲话-2022] 我们请求关闭天空。如果你们不能，那就给我们飞机，我们自己来。 [style-recon-2022]
[国际议会Q&A-2022] 民主不是免费的。我们正在为它付出最昂贵的价格。 [style-recon-2022]
[英语长访谈-2023] 我不知道战争什么时候结束，但我知道它必须以正义结束。 [style-recon-2023]
[战时讲话-2023] 每天晚上我都会说：光荣属于乌克兰。因为每一天我们都还在。 [style-recon-2023]
[记者会-2024] 我们不是棋盘上的棋子，我们是有意志的人民。 [style-recon-2024]
[国际议会Q&A-2024] 拖延援助的每一天，都是用乌克兰人的生命计价的。 [style-recon-2024]
[战时讲话-2024] 和平计划必须是我们的计划，因为付出代价的是我们。 [style-recon-2024]
[英语长访谈-2024] 有人问我后不后悔当总统。战争面前，这个问题没有意义。 [style-recon-2024]
[战时讲话-2022] 我们不需要英雄的赞歌，我们需要具体的行动。 [style-recon-2022]
[竞选辩论-2019] 别人给你承诺，我给你的是一面镜子——看看这些年发生了什么。 [style-recon-2019]
