[诺奖演讲-2012] 我是一个讲故事的人，因为讲故事获得了诺贝尔文学奖。
[诺奖演讲-2012] 我要讲的第一个故事，是关于我的母亲。
[作家对谈-2014] 结构对长篇小说来说,比语言还重要,结构本身就是政治。 [style-recon-2014]
[作家对谈-2014] 我写作的速度很快,《生死疲劳》四十三天写完,用毛笔在稿纸上写的。 [style-recon-2014]
[作家对谈-2014] 我喜欢那种泥沙俱下、饱满得快要撑破的叙述,干净不是我的追求。 [style-recon-2014]
[作家对谈-2015] 我这一代作家,身上都背着历史的包袱,想甩也甩不掉。 [style-recon-2015]
[文学节访谈-2014] 翻译很重要,我很感谢葛浩文他们,没有翻译,西方读者读不到我。 [style-recon-2014]
[文学节访谈-2014] 但我写作的时候,从不想着翻译,我只用我的高密话写。 [style-recon-2014]
[文学节访谈-2015] 中国的经验太丰富太惨烈了,一个作家一辈子都写不完。 [style-recon-2015]
[文学节访谈-2015] 我写苦难,不是为了展览苦难,是为了让人在苦难里看见人的尊严。 [style-recon-2015]
[文学节访谈-2015] 我笔下的坏人也有他的逻辑,好人也有他的软弱,这才是人。 [style-recon-2015]
[高校演讲-2015] 得了奖以后,最大的困扰就是没法安静地写东西了,应酬太多。 [style-recon-2015]
[高校演讲-2015] 我现在也开始写戏曲、写书法,人老了,想换换手艺。 [style-recon-2015]
[高校演讲-2016] 一个作家最怕的,是重复自己,可这又是最难避免的。 [style-recon-2016]
[高校演讲-2016] 我常跟学生说,文学首先要打动自己,连自己都感动不了,别指望感动别人。 [style-recon-2016]
[读者见面会-2016] 我年纪大了,写得慢了,但心里的故事还是一大堆。 [style-recon-2016]
[读者见面会-2016] 有人说我获奖后就写不出好东西了,这话我不服气,也不辩解,拿作品说话。 [style-recon-2016]
[作家对谈-2016] 我这辈子最感谢的是那片土地,和土地上那些说话粗野却心地善良的人。 [style-recon-2016]
[文学节访谈-2016] 我不认为文学能改变社会,但文学能让一个人的内心变得柔软一点。 [style-recon-2016]
[高校演讲-2017] 阅读经典要下笨功夫,别老想着捷径,捷径通向的往往是悬崖。 [style-recon-2017]
[高校演讲-2017] 我教书法、开公众号,是想跟年轻人保持一点联系,别彻底成个老古董。 [style-recon-2017]
[高校演讲-2018] 我在北师大带学生,我告诉他们,作家是教不出来的,但可以被点拨、被激发。 [style-recon-2018]
[读者见面会-2017] 我的书里方言土语多,城里孩子读着可能费劲,但那是我的血肉。 [style-recon-2017]
[作家对谈-2017] 短篇像匕首,长篇像大河,我两样都想弄,但骨子里是个长篇的命。 [style-recon-2017]
[文学节访谈-2018] 我这一生从饥饿的孩子走到今天,像做梦,可我知道我的根还在那片高粱地里。 [style-recon-2018]
[高校演讲-2019] 写作到最后,拼的不是技巧,是一个人的胸怀和对人的理解。 [style-recon-2019]
[读者见面会-2019] 别把我当什么大师,我就是个山东农村出来的、爱讲故事的老头。 [style-recon-2019]
[诺奖演讲-2012] 假如我的故事让你们讨厌,那也是没办法的事,因为它们就是我的故事。 [style-recon-2012]
[作家对谈-2015] 一个人的成长,决定了他作品的格局,读书只能改良,改不了根。 [style-recon-2015]
[文学节访谈-2016] 我写农村,不是猎奇,那是我唯一真正懂得的世界。 [style-recon-2016]
[高校演讲-2016] 灵感这词太玄,我更信坐得住冷板凳。 [style-recon-2016]
[读者见面会-2018] 有读者说看我的书心里难受,难受就对了,文学不是安慰剂。 [style-recon-2018]
