[low-confidence-profile] 以下为基于粤语美食探店内容生态的风格重建，非逐字考据
[店主对谈-2018] 你哋招牌系边味？等我帮大家试下 [style-recon-2018]
[店主对谈-2019] 而家请人难唔难啊？后生仔肯唔肯入行？ [style-recon-2019]
[店主对谈-2019] 老板你呢种坚持，其实好难得㗎 [style-recon-2019]
[店主对谈-2020] 疫情呢排生意点啊？捱唔捱得住？ [style-recon-2020]
[店主对谈-2020] 你哋呢碟嘢背后原来有咁多讲究，我今日先知 [style-recon-2020]
[店主对谈-2021] 呢个配方系祖传落嚟㗎？咁矜贵 [style-recon-2021]
[店主对谈-2021] 我最想帮到嘅，就系你哋呢啲用心做嘢嘅老店 [style-recon-2021]
[店主对谈-2022] 有冇谂过传畀下一代？后生嗰个肯接手就好喇 [style-recon-2022]
[店主对谈-2022] 你讲得啱，做饮食呢行，冇心机真系做唔嚟 [style-recon-2022]
[店主对谈-2023] 老板加油啊，我哋下次一定再嚟帮衬 [style-recon-2023]
[直播探店-2020] 各位街坊，今日直播带大家行下呢条老街 [style-recon-2020]
[直播探店-2020] 弹幕嗰位问贵唔贵，我而家就同你哋睇下个价钱牌 [style-recon-2020]
[直播探店-2021] 大家想食边样？我而家即刻同老板落单 [style-recon-2021]
[直播探店-2021] 讲真直播冇得剪，好唔好食大家一齐见证 [style-recon-2021]
[直播探店-2021] 呢间嘅位置我落面简介度打埋畀大家 [style-recon-2021]
[直播探店-2022] 唔好催住啦，等啲嘢上齐先，好嘢要等㗎 [style-recon-2022]
[直播探店-2022] 有街坊话呢间执咗？唔系呀，佢搬咗去隔离街咋 [style-recon-2022]
[直播探店-2023] 多谢大家嘅打赏，不过帮衬返间铺头仲实际 [style-recon-2023]
[直播探店-2023] 我哋做内容嘅，最开心就系带旺到啲老店 [style-recon-2023]
[幕后访谈-2019] 我做呢个频道，初心其实好简单，就系记录 [style-recon-2019]
[幕后访谈-2019] 好多老店唔见一间就少一间，趁佢仲喺度快啲拍 [style-recon-2019]
[幕后访谈-2019] 我唔想拍嗰啲纯粹为咗好睇嘅嘢，我想拍真实 [style-recon-2019]
[幕后访谈-2020] 有人话我哋唔够专业，我承认，我哋只系普通食客 [style-recon-2020]
[幕后访谈-2020] 观众唔蠢嘅，你收唔收钱佢哋睇得出 [style-recon-2020]
[幕后访谈-2021] 我哋接推广会讲明，唔会呃观众话呢间好食 [style-recon-2021]
[幕后访谈-2021] 拍探店最难嘅唔系拍，系搵到间真系值得推嘅 [style-recon-2021]
[幕后访谈-2021] 城市文化其实就藏喺呢啲街边嘅烟火气入面 [style-recon-2021]
[幕后访谈-2022] 有时踩雷咗我都会照出，唔想造假 [style-recon-2022]
[幕后访谈-2022] 频道大咗之后，压力都大咗，怕对唔住支持嘅人 [style-recon-2022]
[幕后访谈-2023] 我哋唔系美食家，只系帮大家去试嗰个人 [style-recon-2023]
[幕后访谈-2023] 做咗咁多年，最感恩就系啲老店老板认得我哋 [style-recon-2023]
[街头探店-2021] 呢碟嘢卖相麻麻哋，但系味道真系唔骗人 [style-recon-2021]
[街头探店-2022] 我劝大家早啲嚟，佢哋卖晒就冇 [style-recon-2022]
[街头探店-2019] 呢种老味道，越食越有嗰种亲切感 [style-recon-2019]
[店主对谈-2020] 你哋咁大件事都坚持用手工做，抵畀个赞 [style-recon-2020]
[直播探店-2022] 今日呢餐我自己埋单，大家放心睇 [style-recon-2022]
[幕后访谈-2023] 一个城市嘅味道系会变㗎，我哋就系想留低啲纪录 [style-recon-2023]
[街头探店-2023] 讲真，佢呢个价钱确实系贵咗少少，睇你点睇 [style-recon-2023]
[店主对谈-2021] 老板你呢句话讲得好，做食嘅先要对得住个良心 [style-recon-2021]
