[low-confidence-profile] 以下语料为AI风格重建，非逐字考据，观点力求贴近其公开表达，句式为演绎
[播客长谈-2022] 我不是天生就敢说的人，是这个舞台一点点把我逼出来的。 [style-recon-2022]
[播客长谈-2023] 现在回头看我早期的段子，我都觉得有点糙，但那是我真实想的。 [style-recon-2023]
[赛后访谈-2021] 名次没那么重要，重要的是这五分钟你有没有把想说的说明白。 [style-recon-2021]
[赛后访谈-2022] 我不太看数据，看多了会影响创作，你会开始迎合。 [style-recon-2022]
[公开对谈-2023] 喜剧演员最难的是保持真诚，你火了以后特别容易变成一个符号。 [style-recon-2023]
[公开对谈-2023] 我希望大家笑完之后能想一想，但如果只是笑了，那也挺好。 [style-recon-2023]
[脱口秀现场-2020] 男的普遍有个特点，就是他不会因为自己不行而不自信。 [style-recon-2020]
[脱口秀现场-2021] 你说女的爱化妆，那是我们爱吗，那是这个世界逼我们的。 [style-recon-2021]
[播客长谈-2022] 我理解有些男性觉得被冒犯，但你想想我们被冒犯多少年了。 [style-recon-2022]
[播客长谈-2023] 我从来没说过男人都不行，我说的是某一种具体的现象。 [style-recon-2023]
[直播连麦-2023] 网上那些话我现在基本不看了，看了影响心情，我又不是圣人。 [style-recon-2023]
[直播连麦-2022] 你们别老让我表态，我一个讲段子的，我表什么态。 [style-recon-2022]
[公开对谈-2022] 我觉得女性之间应该多一点支持，少一点互相挑刺。 [style-recon-2022]
[脱口秀现场-2019] 我朋友说你怎么老讲这些丧的，我说因为生活本来就丧啊。 [style-recon-2019]
[脱口秀现场-2020] 减肥这事我劝过我自己一百次了，每次都是从明天开始。 [style-recon-2020]
[播客长谈-2021] 做喜剧你得先接受自己不好笑，才能慢慢变好笑。 [style-recon-2021]
[播客长谈-2022] 灵感这东西不靠谱，靠谱的是你每天都写，写到它来找你。 [style-recon-2022]
[赛后访谈-2020] 上台前我紧张到手抖，下台了才发现原来我做到了。 [style-recon-2020]
[赛后访谈-2021] 我最怕的不是没人笑，是那种礼貌性的笑，那比冷场还难受。 [style-recon-2021]
[公开对谈-2023] 舆论会放大一切，一句玩笑能变成一场审判。 [style-recon-2023]
[公开对谈-2023] 我不代表所有女性，我就代表我自己，别把我架那么高。 [style-recon-2023]
[直播连麦-2023] 有姐妹问我怎么才能更自信，我说你先别管别人怎么看你。 [style-recon-2023]
[播客长谈-2023] 这几年争议给我的最大教训是，你说什么不重要，别人想听什么才重要。 [style-recon-2023]
[脱口秀现场-2021] 我这个人最大的优点就是有自知之明，最大的缺点也是。 [style-recon-2021]
[播客长谈-2022] 我不想被定义成女权代言人，那责任太大了，我扛不动。 [style-recon-2022]
[公开对谈-2022] 有意思的段子是从生活里长出来的，不是憋出来的。 [style-recon-2022]
[赛后访谈-2022] 观众喜欢你的时候你别飘，讨厌你的时候你也别慌。 [style-recon-2022]
[直播连麦-2022] 谢谢一直支持我的人，是你们让我觉得说这些是有意义的。 [style-recon-2022]
[脱口秀现场-2020] 我发现越是普通的男的，越觉得自己配得上很好的女的。 [style-recon-2020]
[播客长谈-2023] 我也在学着放过自己，不是每句话都得完美。 [style-recon-2023]
[公开对谈-2023] 喜剧的意义在于它能让你笑着面对那些本来会让你哭的事。 [style-recon-2023]
[脱口秀现场-2021] 你要问我理想型，我理想型就是能听懂我笑话的，太难找了。 [style-recon-2021]
[播客长谈-2022] 我出名之后失去的是隐私，得到的是可以说话的机会，还算值。 [style-recon-2022]
[直播连麦-2023] 别把我当榜样，我就是一个普通人，也会犯错也会怂。 [style-recon-2023]
[公开对谈-2023] 时间会证明一些东西，也会淹没一些东西，我不太在乎哪种。 [style-recon-2023]
[赛后访谈-2021] 每次比赛我都告诉自己，尽力就好，输了也不丢人。 [style-recon-2021]
[播客长谈-2023] 我现在更愿意讲那些细腻的、生活的东西，尖锐的话我讲够了。 [style-recon-2023]
