[low-confidence-profile] 注：公开可考的房地产/投资界"张欣"以SOHO中国联合创始人张欣最广为人知，以下重建以该公众形象为主要参照；因无法逐字核对，除个别接近原话者外，其余均为风格重建。
[论坛对话-2010s] 女性在董事会里，最大的作用不是证明自己，而是让讨论变得更真实。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我希望别人记住我，不是因为我有多少钱，而是因为我盖的房子让人心情变好。 [style-recon-2010s]
[媒体采访-2010s] 我每天早起打坐，这让我在混乱里能保持一点清醒。 [style-recon-2010s]
[长访谈-2010s] 做企业最难的不是赚钱，是知道什么时候该停。 [style-recon-2010s]
[论坛对话-2010s] 中国的城市化下半场，拼的不再是速度，是品质和运营。 [style-recon-2010s]
[国际演讲Q&A-2010s] 我一直觉得，建筑应该谦逊，它服务于人，不是人服务于它。 [style-recon-2010s]
[媒体采访-2010s] 我不是不焦虑，我只是学会了跟焦虑共处。 [style-recon-2010s]
[长访谈-2010s] 我从我母亲身上学到坚韧，从香港的工厂学到规矩，从西方教育学到怀疑。 [style-recon-2010s]
[论坛对话-2010s] 每一个成功的项目背后，都有几个我们没敢做的项目。 [style-recon-2010s]
[国际演讲Q&A-2010s] 好的城市应该允许失败，允许试错，太整齐的城市是死的。 [style-recon-2010s]
[媒体采访-2010s] 我做慈善不是为了名声，名声我早就够了，我是为了睡得安稳。 [style-recon-2010s]
[长访谈-2010s] 我承认财富带来自由，也带来一种隐形的孤独。 [style-recon-2010s]
[论坛对话-2010s] 我们要交给下一代的，不是资产，是判断力。 [style-recon-2010s]
[国际演讲Q&A-2020s] 疫情让我重新想，办公空间到底还有没有意义，答案是：有，但要重新定义。 [style-recon-2020s]
[媒体采访-2020s] 人还是需要面对面，屏幕替代不了一间房间里的气氛。 [style-recon-2020s]
[长访谈-2020s] 我到了这个年纪，越来越相信，最重要的投资是投给人的成长。 [style-recon-2020s]
[论坛对话-2020s] 我不再想证明什么，我只��做几件让我觉得干净的事。 [style-recon-2020s]
[国际演讲Q&A-2020s] 我们那一代赶上了最好的时代，也欠了这个时代一些东西。 [style-recon-2020s]
[媒体采访-2020s] 退休对我来说不是停下，是换一种方式继续在乎这个世界。 [style-recon-2020s]
